problem_id,condition,group,num_tokens,tc_raw,tc_pca,tc_sae,s_raw,s_pca,s_sae
116,direct,G2,4,0,0,0,0.0,0.0,0.0
151,direct,G2,4,0,0,0,0.0,0.0,0.0
0,direct,G2,3,0,0,0,0.0,0.0,0.0
152,direct,G2,4,0,0,0,0.0,0.0,0.0
7,direct,G2,3,0,0,0,0.0,0.0,0.0
104,direct,G2,4,0,0,0,0.0,0.0,0.0
34,direct,G2,4,0,0,0,0.0,0.0,0.0
24,direct,G2,4,0,0,0,0.0,0.0,0.0
53,direct,G2,4,0,0,0,0.0,0.0,0.0
155,direct,G2,3,0,0,0,0.0,0.0,0.0
59,direct,G2,3,0,0,0,0.0,0.0,0.0
17,direct,G2,3,0,0,0,0.0,0.0,0.0
101,direct,G2,4,0,0,0,0.0,0.0,0.0
26,direct,G2,3,0,0,0,0.0,0.0,0.0
66,direct,G2,4,0,0,0,0.0,0.0,0.0
68,direct,G2,4,0,0,0,0.0,0.0,0.0
3,direct,G2,3,0,0,0,0.0,0.0,0.0
36,direct,G2,4,0,0,0,0.0,0.0,0.0
133,direct,G2,4,0,0,0,0.0,0.0,0.0
13,direct,G2,3,0,0,0,0.0,0.0,0.0
9,direct,G2,4,0,0,0,0.0,0.0,0.0
61,direct,G2,3,0,0,0,0.0,0.0,0.0
6,direct,G2,3,0,0,0,0.0,0.0,0.0
95,direct,G2,4,0,0,0,0.0,0.0,0.0
44,direct,G2,4,0,0,0,0.0,0.0,0.0
120,direct,G2,4,0,0,0,0.0,0.0,0.0
73,direct,G2,4,0,0,0,0.0,0.0,0.0
124,direct,G2,4,0,0,0,0.0,0.0,0.0
86,direct,G2,4,0,0,0,0.0,0.0,0.0
154,direct,G2,4,0,0,0,0.0,0.0,0.0
33,direct,G2,3,0,0,0,0.0,0.0,0.0
84,direct,G2,3,0,0,0,0.0,0.0,0.0
56,direct,G2,3,0,0,0,0.0,0.0,0.0
54,direct,G2,3,0,0,0,0.0,0.0,0.0
52,direct,G2,3,0,0,0,0.0,0.0,0.0
92,direct,G2,4,0,0,0,0.0,0.0,0.0
21,direct,G2,3,0,0,0,0.0,0.0,0.0
65,direct,G2,3,0,0,0,0.0,0.0,0.0
141,direct,G2,4,0,0,0,0.0,0.0,0.0
89,direct,G2,4,0,0,0,0.0,0.0,0.0
74,direct,G2,3,0,0,0,0.0,0.0,0.0
58,direct,G2,4,0,0,0,0.0,0.0,0.0
97,direct,G2,3,0,0,0,0.0,0.0,0.0
1,direct,G2,4,0,0,0,0.0,0.0,0.0
46,direct,G2,3,0,0,0,0.0,0.0,0.0
2,direct,G2,3,0,0,0,0.0,0.0,0.0
113,direct,G2,4,0,0,0,0.0,0.0,0.0
80,direct,G2,4,0,0,0,0.0,0.0,0.0
69,direct,G2,3,0,0,0,0.0,0.0,0.0
49,direct,G2,3,0,0,0,0.0,0.0,0.0
372,cot,G4,38,10,10,26,596.228759765625,734.765869140625,11635.951171875
117,cot,G4,30,9,9,9,745.849609375,894.57568359375,23390.123046875
114,cot,G4,26,12,11,1,209.19921875,229.398681640625,6637.0478515625
42,cot,G4,28,18,18,17,337.794921875,429.79443359375,12389.2421875
127,cot,G4,24,5,5,14,202.65234375,248.600830078125,6559.642578125
234,cot,G4,37,24,24,19,765.7900390625,849.59814453125,19450.01171875
188,cot,G4,36,10,11,10,899.4208984375,1057.222900390625,21424.4921875
185,cot,G4,39,11,11,26,1584.84326171875,1698.43017578125,18923.916015625
397,cot,G4,38,11,11,11,1160.222412109375,1323.00341796875,27836.0546875
25,cot,G4,28,19,19,19,405.750244140625,499.089599609375,24373.322265625
125,cot,G4,32,8,8,21,527.840576171875,664.550537109375,12983.10546875
232,cot,G4,29,14,14,17,719.51025390625,757.832763671875,10053.50390625
284,cot,G4,40,11,11,9,910.48486328125,1104.82080078125,6647.615234375
