radius_of_gyration,effective_dimension,speed,tortuosity,turn_angle,directional_consistency,cos_slope,early_late_ratio,time_to_commit,commitment_sharpness,problem_id,condition,correct,bin,group,layer,num_tokens
24.59715,1.0,41.813515,0.5270189,2.0341918,0.5258384,0.012834012508392334,0.92040545,0,0.0035239458,0,direct,True,UltraSmall,G2,0,3
192.80655,1.0,361.78168,0.36928642,2.3987443,0.3629428,0.06748431921005249,0.86368716,0,0.074617386,0,direct,True,UltraSmall,G2,1,3
182.01369,1.0000001,327.44174,0.43274942,2.2806368,0.41730532,0.042587995529174805,0.7760699,0,0.039276123,0,direct,True,UltraSmall,G2,2,3
179.943,1.0000001,314.42523,0.47806865,2.176274,0.46413633,0.04000985622406006,0.7709303,0,0.02954173,0,direct,True,UltraSmall,G2,3,3
199.8077,1.0000001,355.8888,0.44996387,2.2355773,0.43767178,-0.06687396764755249,0.79183686,0,-0.00029110909,0,direct,True,UltraSmall,G2,4,3
204.86356,1.0,350.4833,0.4927576,2.2107992,0.44877738,-0.03966337442398071,0.6290488,0,-0.0014553666,0,direct,True,UltraSmall,G2,5,3
262.37067,0.99999994,448.05182,0.48533905,2.2750316,0.4198505,-0.02915322780609131,0.5769597,0,-0.0013735294,0,direct,True,UltraSmall,G2,6,3
237.57126,1.0000001,368.60422,0.62324,1.9259537,0.57107884,-0.0035050511360168457,0.5336828,0,-0.0014562011,0,direct,True,UltraSmall,G2,7,3
290.7705,1.0,410.02444,0.77037436,1.4505172,0.7483279,0.008327841758728027,0.5675796,0,0.0035227537,0,direct,True,UltraSmall,G2,8,3
287.39767,1.0,424.99854,0.6822248,1.7973212,0.62265855,0.0010946393013000488,0.47460943,0,0.00037550926,0,direct,True,UltraSmall,G2,9,3
383.88232,0.9999999,675.2058,0.46075162,2.2448094,0.43351662,9.655952453613281e-06,0.7047654,0,-0.00020718575,0,direct,True,UltraSmall,G2,10,3
511.04422,0.9999999,735.6172,0.6830937,1.9834597,0.5472428,0.0014992356300354004,0.34366825,0,0.00052541494,0,direct,True,UltraSmall,G2,11,3
579.5271,1.0,971.4236,0.4848005,2.436538,0.34527087,-0.0012386441230773926,0.46775752,0,-0.0003951788,0,direct,True,UltraSmall,G2,12,3
503.61334,0.9999999,832.17096,0.5314145,2.1719532,0.46604893,-0.0004635453224182129,0.5520705,0,-0.00027161837,0,direct,True,UltraSmall,G2,13,3
571.96954,1.0,928.56335,0.57470167,1.9880514,0.54531986,-0.00021713972091674805,0.6441738,0,-0.00013130903,0,direct,True,UltraSmall,G2,14,3
731.7749,1.0,1227.3619,0.54503185,1.997294,0.54144037,-0.0029175877571105957,0.8616787,0,-0.0012007356,0,direct,True,UltraSmall,G2,15,3
887.40405,1.0,1497.6976,0.523319,2.0948877,0.49978667,-0.003620445728302002,0.6961468,0,-0.0010464191,0,direct,True,UltraSmall,G2,16,3
922.0496,1.0,1523.4883,0.5535307,2.0245192,0.52994585,-0.0026332736015319824,0.68279177,0,-0.001006186,0,direct,True,UltraSmall,G2,17,3
1297.7852,1.0000001,2167.2327,0.5305699,2.1102073,0.4931376,-0.018078505992889404,0.6326298,0,-0.00617218,0,direct,True,UltraSmall,G2,18,3
1645.3247,1.0000001,2696.8262,0.5553843,2.0582476,0.5155698,-0.028518736362457275,0.6116142,0,-0.009422839,0,direct,True,UltraSmall,G2,19,3
1920.0227,1.0,3207.3062,0.53749734,2.0641253,0.5130495,-0.03459799289703369,0.6853368,0,-0.011677027,0,direct,True,UltraSmall,G2,20,3
2239.228,1.0000001,3930.9526,0.46520147,2.2284875,0.44085652,-0.06396859884262085,0.7160508,0,-0.006136894,0,direct,True,UltraSmall,G2,21,3
2590.3977,1.0,4656.2676,0.43088594,2.2973697,0.4096875,-0.07885819673538208,0.7446965,0,0.0003054738,0,direct,True,UltraSmall,G2,22,3
3016.161,0.9999999,5539.5845,0.39869082,2.359814,0.3810109,-0.09443378448486328,0.77464074,0,0.0098282695,0,direct,True,UltraSmall,G2,23,3
3569.757,0.99999994,6704.7803,0.36286706,2.4313972,0.34768203,-0.15263622999191284,0.80052817,0,0.037937045,0,direct,True,UltraSmall,G2,24,3
3997.1365,0.9999999,7617.6807,0.34074852,2.46517,0.33180028,-0.1670607328414917,0.84802693,0,0.04148203,0,direct,True,UltraSmall,G2,25,3
94.091064,1.0,178.08209,0.35778657,2.4103389,0.35753492,-0.20339661836624146,0.9716743,0,0.046251774,0,direct,True,UltraSmall,G2,26,3
28.06008,5.7691326,42.738174,0.04504556,2.1060321,0.047013033,0.0025700205206297907,0.97230273,13,0.5058888,0,cot,True,UltraSmall,G4,0,26
190.58157,3.0216532,292.63577,0.043800615,2.151885,0.08587263,0.0013959140043992265,0.88528186,4,0.15517247,0,cot,True,UltraSmall,G4,1,26
186.13771,3.9048798,284.9526,0.046656188,2.1174326,0.08474552,0.0014859179350046017,0.90143025,4,0.10313159,0,cot,True,UltraSmall,G4,2,26
192.9927,4.206622,293.26358,0.046531696,2.127432,0.069579236,0.0005980981771762555,0.88623756,13,0.09595132,0,cot,True,UltraSmall,G4,3,26
211.66037,4.0236573,314.7942,0.04904849,2.1122177,0.05838886,0.0005643323293099036,0.8808014,4,0.042871416,0,cot,True,UltraSmall,G4,4,26
238.30193,3.4990525,349.07013,0.038321204,2.0916433,0.054996237,-0.0001625366394336407,0.8888877,11,0.042223692,0,cot,True,UltraSmall,G4,5,26
286.51852,2.4746053,430.4621,0.05019285,2.13009,0.07240503,-7.522844351254977e-05,0.79711807,13,0.016280591,0,cot,True,UltraSmall,G4,6,26
293.00696,3.2259538,435.92816,0.036231313,2.0865428,0.054059837,9.229687544015738e-06,0.8810797,13,0.016772807,0,cot,True,UltraSmall,G4,7,26
361.72314,2.3827639,538.4967,0.038381983,2.1377857,0.066168524,-2.916684517493615e-06,0.832563,18,0.007861912,0,cot,True,UltraSmall,G4,8,26
430.6501,2.3681664,608.3212,0.0365345,2.0890417,0.06879749,-5.2314079724825345e-06,0.8936041,11,0.0040043592,0,cot,True,UltraSmall,G4,9,26
566.1184,2.091248,774.48315,0.035653234,2.0667868,0.06135388,0.00012361196371225212,0.7887398,4,0.0063533187,0,cot,True,UltraSmall,G4,10,26
547.86334,2.1021316,758.94165,0.049320772,2.0852575,0.0679712,3.890688602740948e-05,0.8528362,4,0.0022258759,0,cot,True,UltraSmall,G4,11,26
810.3232,1.6753576,1120.8511,0.030591378,2.0281465,0.13676836,3.016852415524996e-05,0.9256271,12,0.0025517344,0,cot,True,UltraSmall,G4,12,26
779.67267,2.5513728,1047.9877,0.03696381,1.9890018,0.108633146,6.738007068634033e-05,0.9321826,4,0.0020045638,0,cot,True,UltraSmall,G4,13,26
954.0292,3.1210904,1214.5742,0.04055889,1.9894675,0.13150947,0.00013452222714057337,0.99021393,4,0.0051392913,0,cot,True,UltraSmall,G4,14,26
1232.4473,5.1995378,1474.6663,0.048150264,1.9182745,0.12584104,6.200978389153114e-05,1.0215986,4,0.010911107,0,cot,True,UltraSmall,G4,15,26
1448.4392,4.281029,1806.629,0.03830344,1.9573961,0.10722788,0.00011663473569429838,1.0241001,4,0.01172471,0,cot,True,UltraSmall,G4,16,26
1406.4755,8.520222,1725.2316,0.042397406,1.9435104,0.080403976,0.00014231842297774097,0.991843,17,0.008799255,0,cot,True,UltraSmall,G4,17,26
1920.7777,8.619619,2372.013,0.04355456,1.9528574,0.090047784,0.00030331891316633954,0.9326317,17,0.015186965,0,cot,True,UltraSmall,G4,18,26
2313.5186,7.7994657,2914.6414,0.044622198,1.9578358,0.096559085,0.0005724187997671274,0.9490381,17,0.03183061,0,cot,True,UltraSmall,G4,19,26
2515.4612,8.136555,3180.39,0.047410302,1.9655546,0.096486755,0.0007486413533870991,0.9890737,17,0.03892529,0,cot,True,UltraSmall,G4,20,26
2736.481,7.843897,3500.5583,0.048040707,1.9764794,0.094473965,0.0010618333633129412,1.0264256,8,0.050297856,0,cot,True,UltraSmall,G4,21,26
3013.3596,7.796645,3911.1753,0.043955557,1.9763851,0.08874837,0.0009170230076863215,1.0215116,8,0.05928445,0,cot,True,UltraSmall,G4,22,26
3359.6172,8.12557,4384.5063,0.0433272,1.9910736,0.08575413,0.0010664751896491418,1.029336,8,0.070310235,0,cot,True,UltraSmall,G4,23,26
3593.2944,8.302529,4715.997,0.042931013,2.002558,0.08159019,0.0013872577593876767,1.0526624,8,0.09295362,0,cot,True,UltraSmall,G4,24,26
